phrase ids,sentiment values,score
229,0.81944,4
230,0.88889,4
231,0.77778,3
232,0.68056,3
233,0.77778,3
234,0.66667,3
235,0.80556,4
236,0.52778,2
237,0.69444,3
238,0.51389,2
239,0.27778,1
240,0.375,1
241,0.36111,1
242,0.56944,2
243,0.33333,1
244,0.47222,2
245,0.41667,2
246,0.23611,1
247,0.25,1
248,0.33333,1
249,0.48611,2
250,0.55556,2
251,0.56944,2
252,0.54167,2
253,0.45833,2
254,0.5,2
255,0.40278,2
256,0.41667,2
257,0.26389,1
258,0.56944,2
259,0.15278,0
260,0.44444,2
261,0.58333,2
262,0.43056,2
263,0.55556,2
264,0.375,1
265,0.66667,3
266,0.80556,4
267,0.76389,3
268,0.79167,3
269,0.70833,3
270,0.63889,3
271,0.40278,2
272,0.375,1
273,0.625,3
274,0.59722,2
275,0.5,2
276,0.40278,2
277,0.65278,3
278,0.80556,4
279,0.81944,4
280,0.68056,3
281,0.44444,2
282,0.47222,2
283,0.70833,3
284,0.73611,3
285,0.83333,4
286,0.81944,4
287,0.59722,2
288,0.73611,3
289,0.73611,3
290,0.73611,3
291,0.52778,2
292,0.875,4
293,0.93056,4
294,0.76389,3
295,0.36111,1
296,0.55556,2
297,0.61111,3
298,0.5,2
299,0.5,2
300,0.5,2
301,0.55556,2
302,0.34722,1
303,0.63889,3
304,0.90278,4
305,0.5,2
306,0.56944,2
307,0.5,2
308,0.44444,2
309,0.55556,2
310,0.56944,2
311,0.69444,3
312,0.54167,2
313,0.43056,2
314,0.5,2
315,0.52778,2
316,0.375,1
317,0.36111,1
318,0.72222,3
319,0.20833,1
320,0.22222,1
321,0.55556,2
322,0.51389,2
323,0.5,2
324,0.55556,2
325,0.56944,2
326,0.5,2
327,0.61111,3
328,0.54167,2
329,0.30556,1
330,0.33333,1
331,0.38889,1
332,0.5,2
333,0.59722,2
334,0.77778,3
335,0.81944,4
336,0.63889,3
337,0.69444,3
338,0.47222,2
339,0.54167,2
340,0.44444,2
341,0.19444,0
342,0.11111,0
343,0.61111,3
344,0.47222,2
345,0.5,2
346,0.40278,2
347,0.66667,3
348,0.30556,1
349,0.47222,2
350,0.5,2
351,0.5,2
352,0.5,2
353,0.44444,2
354,0.31944,1
355,0.52778,2
356,0.56944,2
357,0.5,2
358,0.52778,2
359,0.5,2
360,0.77778,3
361,0.44444,2
362,0.625,3
363,0.5,2
364,0.55556,2
365,0.66667,3
366,0.5,2
367,0.5,2
368,0.33333,1
369,0.5,2
370,0.47222,2
371,0.54167,2
372,0.79167,3
373,0.61111,3
374,0.51389,2
375,0.54167,2
376,0.54167,2
377,0.72222,3
378,0.47222,2
379,0.48611,2
380,0.33333,1
381,0.73611,3
382,0.55556,2
383,0.70833,3
384,0.5,2
385,0.31944,1
386,0.38889,1
387,0.72222,3
388,0.625,3
389,0.65278,3
390,0.625,3
391,0.54167,2
392,0.72222,3
393,0.73611,3
394,0.81944,4
395,0.5,2
396,0.27778,1
397,0.73611,3
398,0.69444,3
399,0.51389,2
400,0.41667,2
401,0.58333,2
402,0.52778,2
403,0.51389,2
404,0.19444,0
405,0.19444,0
406,0.27778,1
407,0.44444,2
408,0.5,2
409,0.5,2
410,0.81944,4
411,0.55556,2
412,0.56944,2
413,0.66667,3
414,0.5,2
415,0.44444,2
416,0.54167,2
417,0.55556,2
418,0.48611,2
419,0.5,2
420,0.48611,2
421,0.5,2
422,0.5,2
423,0.52778,2
424,0.5,2
425,0.55556,2
426,0.38889,1
427,0.51389,2
428,0.5,2
429,0.77778,3
430,0.5,2
431,0.77778,3
432,0.5,2
433,0.65278,3
434,0.75,3
435,0.5,2
436,0.5,2
437,0.23611,1
438,0.375,1
439,0.55556,2
440,0.63889,3
441,0.70833,3
442,0.70833,3
443,0.34722,1
444,0.33333,1
445,0.18056,0
446,0.44444,2
447,0.69444,3
448,0.47222,2
449,0.55556,2
450,0.43056,2
451,0.80556,4
452,0.83333,4
453,0.66667,3
454,0.83333,4
455,0.76389,3
456,0.73611,3
457,0.48611,2
458,0.38889,1
459,0.79167,3
460,0.59722,2
461,0.54167,2
462,0.5,2
463,0.97222,4
464,0.625,3
465,0.54167,2
466,0.5,2
467,0.51389,2
468,0.5,2
469,0.5,2
470,0.34722,1
471,0.48611,2
472,0.5,2
473,0.54167,2
474,0.72222,3
475,0.44444,2
476,0.44444,2
477,0.44444,2
478,0.55556,2
479,0.40278,2
480,0.5,2
481,0.38889,1
482,0.5,2
483,0.52778,2
484,0.79167,3
485,0.16667,0
486,0.68056,3
487,0.77778,3
488,0.56944,2
489,0.5,2
490,0.45833,2
491,0.40278,2
492,0.52778,2
493,0.51389,2
494,0.51389,2
495,0.51389,2
496,0.47222,2
497,0.33333,1
498,0.77778,3
499,0.79167,3
500,0.66667,3
501,0.48611,2
502,0.63889,3
503,0.54167,2
504,0.55556,2
505,0.72222,3
506,0.56944,2
507,0.56944,2
508,0.75,3
509,0.44444,2
510,0.25,1
511,0.5,2
512,0.51389,2
513,0.58333,2
514,0.52778,2
515,0.52778,2
516,0.52778,2
517,0.5,2
518,0.86111,4
519,0.55556,2
520,0.55556,2
521,0.51389,2
522,0.5,2
523,0.5,2
524,0.5,2
525,0.51389,2
526,0.61111,3
527,0.44444,2
528,0.41667,2
529,0.48611,2
530,0.45833,2
531,0.29167,1
532,0.25,1
533,0.19444,0
534,0.30556,1
535,0.43056,2
536,0.43056,2
537,0.125,0
538,0.77778,3
539,0.44444,2
540,0.36111,1
541,0.26389,1
542,0.27778,1
543,0.44444,2
544,0.30556,1
545,0.43056,2
546,0.54167,2
547,0.5,2
548,0.16667,0
549,0.51389,2
550,0.097222,0
551,0.47222,2
552,0.61111,3
553,0.77778,3
554,0.13889,0
555,0.5,2
556,0.55556,2
557,0.69444,3
558,0.34722,1
559,0.18056,0
560,0.5,2
561,0.52778,2
562,0.56944,2
563,0.58333,2
564,0.5,2
565,0.55556,2
566,0.76389,3
567,0.77778,3
568,0.5,2
569,0.58333,2
570,0.47222,2
571,0.40278,2
572,0.58333,2
573,0.5,2
574,0.63889,3
575,0.5,2
576,0.5,2
577,0.22222,1
578,0.5,2
579,0.51389,2
580,0.47222,2
581,0.5,2
582,0.56944,2
583,0.51389,2
584,0.30556,1
585,0.33333,1
586,0.5,2
587,0.5,2
588,0.51389,2
589,0.22222,1
590,0.52778,2
591,0.5,2
592,0.69444,3
593,0.72222,3
594,0.55556,2
595,0.625,3
596,0.56944,2
597,0.80556,4
598,0.83333,4
599,0.5,2
600,0.375,1
601,0.5,2
602,0.11111,0
603,0.5,2
604,0.16667,0
605,0.51389,2
606,0.5,2
607,0.5,2
608,0.31944,1
609,0.29167,1
610,0.31944,1
611,0.25,1
612,0.47222,2
613,0.29167,1
614,0.40278,2
615,0.26389,1
616,0.43056,2
617,0.5,2
618,0.44444,2
619,0.55556,2
620,0.51389,2
621,0.5,2
622,0.5,2
623,0.43056,2
624,0.43056,2
625,0.61111,3
626,0.5,2
627,0.59722,2
628,0.54167,2
629,0.5,2
630,0.69444,3
631,0.76389,3
632,0.75,3
633,0.75,3
634,0.97222,4
635,0.5,2
636,0.52778,2
637,0.44444,2
638,0.5,2
639,0.13889,0
640,0.5,2
641,0.48611,2
642,0.5,2
643,0.5,2
644,0.16667,0
645,0.69444,3
646,0.69444,3
647,0.68056,3
648,0.44444,2
649,0.5,2
650,0.44444,2
651,0.38889,1
652,0.44444,2
653,0.72222,3
654,0.45833,2
655,0.11111,0
656,0.44444,2
657,0.59722,2
658,0.5,2
659,0.18056,0
660,0.5,2
661,0.56944,2
662,0.16667,0
663,0.5,2
664,0.55556,2
665,0.5,2
666,0.43056,2
667,0.69444,3
668,0.5,2
669,0.56944,2
670,0.58333,2
671,0.30556,1
672,0.30556,1
673,0.36111,1
674,0.75,3
675,0.5,2
676,0.5,2
677,0.44444,2
678,0.36111,1
679,0.5,2
680,0.55556,2
681,0.5,2
682,0.47222,2
683,0.5,2
684,0.77778,3
685,0.66667,3
686,0.22222,1
687,0.45833,2
688,0.41667,2
689,0.38889,1
690,0.90278,4
691,0.54167,2
692,0.5,2
693,0.58333,2
694,0.83333,4
695,0.83333,4
696,0.5,2
697,0.61111,3
698,0.5,2
699,0.63889,3
700,0.55556,2
701,0.5,2
702,0.75,3
703,0.44444,2
704,0.68056,3
705,0.55556,2
706,0.63889,3
707,0.73611,3
708,0.73611,3
709,0.5,2
710,0.5,2
711,0.80556,4
712,0.5,2
713,0.5,2
714,0.58333,2
715,0.5,2
716,0.47222,2
717,0.56944,2
718,0.54167,2
719,0.51389,2
720,0.70833,3
721,0.65278,3
722,0.5,2
723,0.73611,3
724,0.63889,3
725,0.875,4
726,0.38889,1
727,0.44444,2
728,0.61111,3
729,0.48611,2
730,0.5,2
731,0.26389,1
732,0.48611,2
733,0.25,1
734,0.56944,2
735,0.59722,2
736,0.5,2
737,0.30556,1
738,0.5,2
739,0.40278,2
740,0.33333,1
741,0.73611,3
742,0.83333,4
743,0.11111,0
744,0.18056,0
745,0.43056,2
746,0.55556,2
747,0.5,2
748,0.44444,2
749,0.38889,1
750,0.69444,3
751,0.625,3
752,0.70833,3
753,0.5,2
754,0.44444,2
755,0.51389,2
756,0.375,1
757,0.48611,2
758,0.38889,1
759,0.38889,1
760,0.52778,2
761,0.625,3
762,0.51389,2
763,0.83333,4
764,0.79167,3
765,0.875,4
766,0.73611,3
767,0.81944,4
768,0.76389,3
769,0.93056,4
770,0.5,2
771,0.45833,2
772,0.41667,2
773,0.72222,3
774,0.52778,2
775,0.5,2
776,0.61111,3
777,0.59722,2
778,0.76389,3
779,0.66667,3
780,0.65278,3
781,0.77778,3
782,0.625,3
783,0.91667,4
784,0.54167,2
785,0.56944,2
786,0.59722,2
787,0.90278,4
788,0.83333,4
789,0.27778,1
790,0.38889,1
791,0.5,2
792,0.51389,2
793,0.58333,2
794,0.5,2
795,0.52778,2
796,0.52778,2
797,0.44444,2
798,0.76389,3
799,0.76389,3
800,0.375,1
801,0.38889,1
802,0.44444,2
803,0.44444,2
804,0.5,2
805,0.33333,1
806,0.61111,3
807,0.44444,2
808,0.13889,0
809,0.30556,1
810,0.43056,2
811,0.5,2
812,0.38889,1
813,0.5,2
814,0.54167,2
815,0.5,2
816,0.5,2
817,0.5,2
818,0.31944,1
819,0.31944,1
820,0.43056,2
821,0.40278,2
822,0.33333,1
823,0.43056,2
824,0.43056,2
825,0.44444,2
826,0.40278,2
827,0.47222,2
828,0.5,2
829,0.42361,2
830,0.56944,2
831,0.44444,2
832,0.5,2
833,0.55556,2
834,0.76389,3
835,0.81944,4
836,0.63889,3
837,0.51389,2
838,0.30556,1
839,0.40278,2
840,0.68056,3
841,0.43056,2
842,0.44444,2
843,0.5,2
844,0.45833,2
845,0.18056,0
846,0.375,1
847,0.29167,1
848,0.38889,1
849,0.66667,3
850,0.48611,2
851,0.5,2
852,0.55556,2
853,0.69444,3
854,0.77778,3
855,0.36111,1
856,0.5,2
857,0.36111,1
858,0.26389,1
859,0.055556,0
860,0.51389,2
861,0.66667,3
862,0.5,2
863,0.5,2
864,0.55556,2
865,0.61111,3
866,0.52778,2
867,0.55556,2
868,0.52778,2
869,0.55556,2
870,0.52778,2
871,0.5,2
872,0.52778,2
873,0.5,2
874,0.5,2
875,0.5,2
876,0.13889,0
877,0.27778,1
878,0.36111,1
879,0.51389,2
880,0.51389,2
881,0.38889,1
882,0.73611,3
883,0.48611,2
884,0.44444,2
885,0.27778,1
886,0.61111,3
887,0.65278,3
888,0.81944,4
889,0.76389,3
890,0.65278,3
891,0.86111,4
892,0.75,3
893,0.86111,4
894,0.16667,0
895,0.80556,4
896,0.52778,2
897,0.77778,3
898,0.52778,2
899,0.52778,2
900,0.43056,2
901,0.48611,2
902,0.375,1
903,0.29167,1
904,0.25,1
905,0.73611,3
906,0.69444,3
907,0.52778,2
908,0.5,2
909,0.61111,3
910,0.5,2
911,0.5,2
912,0.5,2
913,0.30556,1
914,0.5,2
915,0.55556,2
916,0.5,2
917,0.5,2
918,0.52778,2
919,0.54167,2
920,0.5,2
921,0.5,2
922,0.22222,1
923,0.56944,2
924,0.5,2
925,0.5,2
926,0.55556,2
927,0.54167,2
928,0.16667,0
929,0.5,2
930,0.5,2
931,0.56944,2
932,0.55556,2
933,0.625,3
934,0.5,2
935,0.81944,4
936,0.5,2
937,0.55556,2
938,0.52778,2
939,0.5,2
940,0.43056,2
941,0.375,1
942,0.52778,2
943,0.66667,3
944,0.75,3
945,0.52778,2
946,0.44444,2
947,0.51389,2
948,0.34722,1
949,0.23611,1
950,0.55556,2
951,0.55556,2
952,0.66667,3
953,0.65278,3
954,0.63889,3
955,0.5,2
956,0.36111,1
957,0.76389,3
958,0.56944,2
959,0.76389,3
960,0.79167,3
961,0.625,3
962,0.20833,1
963,0.63889,3
964,0.77778,3
965,0.22222,1
966,0.51389,2
967,0.5,2
968,0.52778,2
969,0.44444,2
970,0.5,2
971,0.5,2
972,0.63889,3
973,0.5,2
974,0.54167,2
975,0.66667,3
976,0.5,2
977,0.5,2
978,0.5,2
979,0.43056,2
980,0.31944,1
981,0.51389,2
982,0.54167,2
983,0.76389,3
984,0.5,2
985,0.44444,2
986,0.41667,2
987,0.77778,3
988,0.19444,0
989,0.27778,1
990,0.22222,1
991,0.55556,2
992,0.72222,3
993,0.55556,2
994,0.5,2
995,0.5,2
996,0.34722,1
997,0.5,2
998,0.5,2
999,0.5,2
1000,0.5,2
1001,0.5,2
1002,0.54167,2
1003,0.63889,3
1004,0.47222,2
1005,0.30556,1
1006,0.43056,2
1007,0.38889,1
1008,0.56944,2
1009,0.41667,2
1010,0.54167,2
1011,0.43056,2
1012,0.125,0
1013,0.5,2
1014,0.55556,2
1015,0.66667,3
1016,0.52778,2
1017,0.54167,2
1018,0.22222,1
1019,0.72222,3
1020,0.27778,1
1021,0.51389,2
1022,0.58333,2
1023,0.66667,3
1024,0.5,2
1025,0.65278,3
1026,0.52778,2
1027,0.55556,2
1028,0.33333,1
1029,0.20833,1
1030,0.5,2
1031,0.48611,2
1032,0.5,2
1033,0.51389,2
1034,0.51389,2
1035,0.66667,3
1036,0.5,2
1037,0.81944,4
1038,0.65278,3
1039,0.52778,2
1040,0.40278,2
1041,0.51389,2
1042,0.19444,0
1043,0.375,1
1044,0.54167,2
1045,0.26389,1
1046,0.81944,4
1047,0.88889,4
1048,0.77778,3
1049,0.34722,1
1050,0.27778,1
1051,0.45833,2
1052,0.27778,1
1053,0.58333,2
1054,0.5,2
1055,0.30556,1
1056,0.30556,1
1057,0.38889,1
1058,0.41667,2
1059,0.61111,3
1060,0.83333,4
1061,0.5,2
1062,0.5,2
1063,0.5,2
1064,0.54167,2
1065,0.61111,3
1066,0.5,2
1067,0.875,4
1068,0.84722,4
1069,0.61111,3
1070,0.48611,2
1071,0.5,2
1072,0.27778,1
1073,0.40278,2
1074,0.52778,2
1075,0.51389,2
1076,0.33333,1
1077,0.43056,2
1078,0.5,2
1079,0.5,2
1080,0.51389,2
1081,0.72222,3
1082,0.81944,4
1083,0.43056,2
1084,0.45833,2
1085,0.5,2
1086,0.43056,2
1087,0.5,2
1088,0.63889,3
1089,0.5,2
1090,0.5,2
1091,0.54167,2
1092,0.73611,3
1093,0.73611,3
1094,0.77778,3
1095,0.72222,3
1096,0.52778,2
1097,0.70833,3
1098,0.56944,2
1099,0.77778,3
1100,0.63889,3
1101,0.44444,2
1102,0.69444,3
1103,0.91667,4
1104,0.81944,4
1105,0.94444,4
1106,0.75,3
1107,0.625,3
1108,0.61111,3
1109,0.23611,1
1110,0.41667,2
1111,0.52778,2
1112,0.80556,4
1113,0.73611,3
1114,0.48611,2
1115,0.68056,3
1116,0.65278,3
1117,0.66667,3
1118,0.5,2
1119,0.66667,3
1120,0.58333,2
1121,0.5,2
1122,0.5,2
1123,0.5,2
1124,0.45833,2
1125,0.5,2
1126,0.47222,2
1127,0.43056,2
1128,0.61111,3
1129,0.26389,1
1130,0.63889,3
1131,0.5,2
1132,0.5,2
1133,0.48611,2
1134,0.43056,2
1135,0.52778,2
1136,0.48611,2
1137,0.38889,1
1138,0.5,2
1139,0.44444,2
1140,0.55556,2
1141,0.52778,2
1142,0.61111,3
1143,0.86111,4
1144,0.55556,2
1145,0.81944,4
1146,0.43056,2
1147,0.65278,3
1148,0.58333,2
1149,0.47222,2
1150,0.5,2
1151,0.52083,2
1152,0.34722,1
1153,0.33333,1
1154,0.76389,3
1155,0.38889,1
1156,0.77778,3
1157,0.36111,1
1158,0.40278,2
1159,0.80556,4
1160,0.5,2
1161,0.52778,2
1162,0.40278,2
1163,0.61111,3
1164,0.88889,4
1165,0.30556,1
1166,0.34722,1
1167,0.625,3
1168,0.5,2
1169,0.5,2
1170,0.40278,2
1171,0.375,1
1172,0.76389,3
1173,0.5,2
1174,0.30556,1
1175,0.54167,2
1176,0.52778,2
1177,0.61111,3
1178,0.69444,3
1179,0.5,2
1180,0.5,2
1181,0.61111,3
1182,0.73611,3
1183,0.52778,2
1184,0.56944,2
1185,0.84722,4
1186,0.63889,3
1187,0.5,2
1188,0.5,2
1189,0.59722,2
1190,0.80556,4
1191,0.61111,3
1192,0.25,1
1193,0.54167,2
1194,0.55556,2
1195,0.58333,2
1196,0.51389,2
1197,0.5,2
1198,0.5,2
1199,0.51389,2
1200,0.5,2
1201,0.54167,2
1202,0.38889,1
1203,0.5,2
1204,0.69444,3
1205,0.41667,2
1206,0.68056,3
1207,0.51389,2
1208,0.5,2
1209,0.51389,2
1210,0.44444,2
1211,0.44444,2
1212,0.34722,1
1213,0.38889,1
1214,0.61111,3
1215,0.70833,3
1216,0.59722,2
1217,0.40278,2
1218,0.055556,0
1219,0.83333,4
1220,0.58333,2
1221,0.5,2
1222,0.055556,0
1223,0.5,2
1224,0.38889,1
1225,0.55556,2
1226,0.5,2
1227,0.5,2
1228,0.48611,2
1229,0.55556,2
1230,0.55556,2
1231,0.5,2
1232,0.5,2
1233,0.58333,2
1234,0.68056,3
1235,0.61111,3
1236,0.5,2
1237,0.5,2
1238,0.70833,3
1239,0.875,4
1240,0.625,3
1241,0.58333,2
1242,0.58333,2
1243,0.61111,3
1244,0.61111,3
1245,0.625,3
1246,0.81944,4
1247,0.44444,2
1248,0.58333,2
1249,0.5,2
1250,0.55556,2
1251,0.56944,2
1252,0.44444,2
1253,0.44444,2
1254,0.31944,1
1255,0.31944,1
1256,0.22222,1
1257,0.22222,1
1258,0.19444,0
1259,0.19444,0
1260,0.77778,3
1261,0.55556,2
1262,0.65278,3
1263,0.72222,3
1264,0.36111,1
1265,0.23611,1
1266,0.55556,2
1267,0.45833,2
1268,0.36111,1
1269,0.5,2
1270,0.75,3
1271,0.63889,3
1272,0.80556,4
1273,0.36111,1
1274,0.58333,2
1275,0.16667,0
1276,0.11111,0
1277,0.5,2
1278,0.55556,2
1279,0.5,2
1280,0.55556,2
1281,0.29167,1
1282,0.58333,2
1283,0.36111,1
1284,0.22222,1
1285,0.5,2
1286,0.47222,2
1287,0.47222,2
1288,0.11111,0
1289,0.55556,2
1290,0.55556,2
1291,0.083333,0
1292,0.47222,2
1293,0.5,2
1294,0.5,2
1295,0.61111,3
1296,0.75,3
1297,0.54167,2
1298,0.66667,3
1299,0.56944,2
1300,0.20833,1
1301,0.58333,2
1302,0.27778,1
1303,0.56944,2
1304,0.52778,2
1305,0.52778,2
1306,0.31944,1
1307,0.38889,1
1308,0.51389,2
1309,0.68056,3
1310,0.52778,2
1311,0.38889,1
1312,0.5,2
1313,0.66667,3
1314,0.61111,3
1315,0.55556,2
1316,0.61111,3
1317,0.63889,3
1318,0.54167,2
1319,0.54167,2
1320,0.5625,2
1321,0.55556,2
1322,0.59722,2
1323,0.44444,2
1324,0.44444,2
1325,0.5,2
1326,0.52778,2
1327,0.5,2
1328,0.58333,2
1329,0.5,2
1330,0.5,2
1331,0.52778,2
1332,0.5,2
1333,0.72222,3
1334,0.69444,3
1335,0.22222,1
1336,0.51389,2
1337,0.48611,2
1338,0.40278,2
1339,0.36111,1
1340,0.5,2
1341,0.55556,2
1342,0.5,2
1343,0.72222,3
1344,0.41667,2
1345,0.55556,2
1346,0.5,2
1347,0.51389,2
1348,0.52778,2
1349,0.73611,3
1350,0.38889,1
1351,0.47222,2
1352,0.5,2
1353,0.72222,3
1354,0.69444,3
1355,0.76389,3
1356,0.54167,2
1357,0.65278,3
1358,0.5,2
1359,0.23611,1
1360,0.52778,2
1361,0.375,1
1362,0.38889,1
1363,0.40278,2
1364,0.27778,1
1365,0.33333,1
1366,0.40278,2
1367,0.58333,2
1368,0.72222,3
1369,0.30556,1
1370,0.45833,2
1371,0.45833,2
1372,0.77778,3
1373,0.76389,3
1374,0.45833,2
1375,0.88889,4
1376,0.56944,2
1377,0.72222,3
1378,0.76389,3
1379,0.5,2
1380,0.80556,4
1381,0.5,2
1382,0.52778,2
1383,0.48611,2
1384,0.33333,1
1385,0.83333,4
1386,0.625,3
1387,0.68056,3
1388,0.11111,0
1389,0.51389,2
1390,0.83333,4
1391,0.86111,4
1392,0.97222,4
1393,0.56944,2
1394,0.40278,2
1395,0.38889,1
1396,0.22222,1
1397,0.40278,2
1398,0.51389,2
1399,0.72222,3
1400,0.59722,2
1401,0.51389,2
1402,0.70833,3
1403,0.30556,1
1404,0.59722,2
1405,0.19444,0
1406,0.45833,2
1407,0.83333,4
1408,0.34722,1
1409,0.70833,3
1410,0.90278,4
1411,0.43056,2
1412,0.69444,3
1413,0.63889,3
1414,0.58333,2
1415,0.55556,2
1416,0.47222,2
1417,0.66667,3
1418,0.30556,1
1419,0.23611,1
1420,0.5,2
1421,0.52778,2
1422,0.19444,0
1423,0.18056,0
1424,0.33333,1
1425,0.625,3
1426,0.68056,3
1427,0.625,3
1428,0.66667,3
1429,0.54167,2
1430,0.38889,1
1431,0.15278,0
1432,0.30556,1
1433,0.43056,2
1434,0.66667,3
1435,0.15278,0
1436,0.15278,0
1437,0.33333,1
1438,0.54167,2
1439,0.45833,2
1440,0.73611,3
1441,0.77778,3
1442,0.5,2
1443,0.36111,1
1444,0.80556,4
1445,0.93056,4
1446,0.83333,4
1447,0.83333,4
1448,0.86111,4
1449,0.90278,4
1450,0.30556,1
1451,0.19444,0
1452,0.625,3
1453,0.15278,0
1454,0.19444,0
1455,0.26389,1
1456,0.20833,1
1457,0.56944,2
1458,0.68056,3
1459,0.36111,1
1460,0.41667,2
1461,0.36111,1
1462,0.65278,3
1463,0.73611,3
1464,0.59722,2
1465,0.375,1
1466,0.38889,1
1467,0.81944,4
1468,0.41667,2
1469,0.72222,3
1470,0.69444,3
1471,0.625,3
1472,0.56944,2
1473,0.76389,3
1474,0.69444,3
1475,0.75,3
1476,0.59722,2
1477,0.43056,2
1478,0.52778,2
1479,0.45833,2
1480,0.34722,1
1481,0.72222,3
1482,0.80556,4
1483,0.65278,3
1484,0.125,0
1485,0.625,3
1486,0.80556,4
1487,0.23611,1
1488,0.36111,1
1489,0.44444,2
1490,0.79167,3
1491,0.55556,2
1492,0.75,3
1493,0.25,1
1494,0.55556,2
1495,0.5,2
1496,0.48611,2
1497,0.375,1
1498,0.33333,1
1499,0.34722,1
1500,0.27778,1
1501,0.375,1
1502,0.52778,2
1503,0.51389,2
1504,0.56944,2
1505,0.5,2
1506,0.44444,2
1507,0.45833,2
1508,0.56944,2
1509,0.58333,2
1510,0.5,2
1511,0.625,3
1512,0.51389,2
1513,0.22222,1
1514,0.44444,2
1515,0.5,2
1516,0.51389,2
1517,0.5,2
1518,0.51389,2
1519,0.52778,2
1520,0.31944,1
1521,0.5,2
1522,0.5,2
1523,0.52778,2
1524,0.38889,1
1525,0.59722,2
1526,0.55556,2
1527,0.5,2
1528,0.27778,1
1529,0.47222,2
1530,0.097222,0
1531,0.5,2
